Class,Subject,Book,Chapter,PDF URL,Book Index URL
Class VI,Science,Curiosity,Prelims,https://ncert.nic.in/textbook/pdf/fecu1ps.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 1,https://ncert.nic.in/textbook/pdf/fecu101.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 2,https://ncert.nic.in/textbook/pdf/fecu102.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 3,https://ncert.nic.in/textbook/pdf/fecu103.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 4,https://ncert.nic.in/textbook/pdf/fecu104.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 5,https://ncert.nic.in/textbook/pdf/fecu105.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 6,https://ncert.nic.in/textbook/pdf/fecu106.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 7,https://ncert.nic.in/textbook/pdf/fecu107.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 8,https://ncert.nic.in/textbook/pdf/fecu108.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 9,https://ncert.nic.in/textbook/pdf/fecu109.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 10,https://ncert.nic.in/textbook/pdf/fecu110.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 11,https://ncert.nic.in/textbook/pdf/fecu111.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
Class VI,Science,Curiosity,Chapter 12,https://ncert.nic.in/textbook/pdf/fecu112.pdf,https://ncert.nic.in/textbook.php?fecu1=0-12
,,,,,
Class VI,Social Science,Exploring Society India and Beyond,Prelims,https://ncert.nic.in/textbook/pdf/fees1ps.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 1,https://ncert.nic.in/textbook/pdf/fees101.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 2,https://ncert.nic.in/textbook/pdf/fees102.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 3,https://ncert.nic.in/textbook/pdf/fees103.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 4,https://ncert.nic.in/textbook/pdf/fees104.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 5,https://ncert.nic.in/textbook/pdf/fees105.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 6,https://ncert.nic.in/textbook/pdf/fees106.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 7,https://ncert.nic.in/textbook/pdf/fees107.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 8,https://ncert.nic.in/textbook/pdf/fees108.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 9,https://ncert.nic.in/textbook/pdf/fees109.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 10,https://ncert.nic.in/textbook/pdf/fees110.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 11,https://ncert.nic.in/textbook/pdf/fees111.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 12,https://ncert.nic.in/textbook/pdf/fees112.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 13,https://ncert.nic.in/textbook/pdf/fees113.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VI,Social Science,Exploring Society India and Beyond,Chapter 14,https://ncert.nic.in/textbook/pdf/fees114.pdf,https://ncert.nic.in/textbook.php?fees1=0-14
Class VII,Science,Curiosity,Prelims,https://ncert.nic.in/textbook/pdf/gecu1ps.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 1,https://ncert.nic.in/textbook/pdf/gecu101.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 2,https://ncert.nic.in/textbook/pdf/gecu102.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 3,https://ncert.nic.in/textbook/pdf/gecu103.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 4,https://ncert.nic.in/textbook/pdf/gecu104.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 5,https://ncert.nic.in/textbook/pdf/gecu105.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 6,https://ncert.nic.in/textbook/pdf/gecu106.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 7,https://ncert.nic.in/textbook/pdf/gecu107.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 8,https://ncert.nic.in/textbook/pdf/gecu108.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 9,https://ncert.nic.in/textbook/pdf/gecu109.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 10,https://ncert.nic.in/textbook/pdf/gecu110.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 11,https://ncert.nic.in/textbook/pdf/gecu111.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Science,Curiosity,Chapter 12,https://ncert.nic.in/textbook/pdf/gecu112.pdf,https://ncert.nic.in/textbook.php?gecu1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Prelims,https://ncert.nic.in/textbook/pdf/gees1ps.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
Class VII,Social Science,Exploring Society India and Beyond Part-I,Chapter 1,https://ncert.nic.in/textbook/pdf/gees101.pdf,https://ncert.nic.in/textbook.php?gees1=0-12
